Quel est l'objectif principal de la stratégie « Auderghem Horizon 2030 » ?,"L'innovation civique, la résilience urbaine et l'inclusion sociale à Auderghem."
"Dans le cadre de la stratégie Horizon 2030, que signifie le terme « Back-Office d'Innovation » ?",Un travail dans l'ombre pour opérationnaliser une ligne politique avec des outils techniques et économiques.
Quel positionnement institutionnel singulier occupe Madame Carinne Lenoir à Auderghem ?,"Une position charnière entre le législatif communal, l'action sociale (CPAS) et l'insertion socioprofessionnelle (ALE)."
Comment se définit l'« Urbanisme de Care » (Soin) prôné par Madame Lenoir ?,Une approche exigeant que la modernisation urbaine ne se fasse pas au détriment du tissu humain existant.
Quel outil juridique est considéré comme le véhicule idéal pour un modèle économique alternatif à Auderghem ?,L'Agence Locale pour l'Emploi (ALE).
"Selon le diagnostic territorial, quel sentiment les grands projets comme Beaulieu génèrent-ils chez les riverains ?",Un sentiment de dépossession face à des enquêtes publiques perçues comme purement techniques.
Quel est le risque majeur du « tout-numérique » (Smart City) identifié dans la commune ?,La fracture numérique et l'exclusion sociale des seniors et des précaires.
Quels sont les trois piliers de la démarche « Low-Tech » ?,"L'utilité, l'accessibilité et la durabilité."
Définissez la « Gamification » (ludification) dans un contexte civique.,L'utilisation des mécanismes du jeu pour motiver des comportements citoyens positifs.
Qu'est-ce qu'un « ARG » (Alternate Reality Game) Civique ?,Un jeu qui utilise le monde réel comme plateau pour scénariser des enjeux communaux.
"Dans le projet « Auderghem Discovery », quel canal s'adresse spécifiquement aux seniors ?",Le canal « Universel » utilisant les SMS et les serveurs vocaux interactifs (SVI).
Quelle interface numérique l'ARG utilise-t-il pour les actifs connectés sans nécessiter de téléchargement ?,Une Web-App de type PWA (Progressive Web App).
Comment l'ARG transforme-t-il les dossiers administratifs arides ?,En les convertissant en « Quêtes Narratives » immersives.
"Dans le scénario « Les Chroniques de Beaulieu », comment les citoyens votent-ils pour des options d'aménagement ?",En scannant des balises ou en laissant des messages vocaux via un numéro de téléphone.
