Quel est l'objectif principal de la stratégie « Auderghem Horizon 2030 » ?,"L'innovation civique, la résilience urbaine et l'inclusion sociale."
"Dans la stratégie de Carinne Lenoir, que signifie le terme « Back-Office d'Innovation » ?",Un travail de soutien opérationnel et technique effectué dans l'ombre.
Quel type de technologie la stratégie privilégie-t-elle pour garantir l'inclusion ?,Le Low-tech.
Quels sont les trois piliers de la démarche Low-tech selon le document ?,"L'utilité, l'accessibilité et la durabilité."
Définition : ARG (Alternate Reality Game) Civique,Un jeu qui utilise le monde réel comme plateau pour encourager l'engagement citoyen.
Quel canal de l'ARG cible spécifiquement les seniors et les personnes touchées par la fracture numérique ?,Le canal « Universel » (SMS et serveurs vocaux).
Quel outil technologique est critiqué pour favoriser uniquement les citoyens connectés (CSP+) ?,La plateforme Fluicity (ou nous.auderghem.be).
Quel est le rôle de l'ALE (Agence Locale pour l'Emploi) dans cette stratégie ?,Valider des activités d'utilité publique et gérer les flux financiers vers les citoyens.
Quel projet urbain d'Auderghem est transformé en quête narrative nommée « Les Chroniques de Beaulieu » ?,La reconversion des bureaux en logements dans le quartier Beaulieu.
Comment la stratégie propose-t-elle d'apaiser les tensions liées au chantier de la rue des Pêcheries ?,En transformant le chantier en un parcours ludique et éducatif.
Qu'est-ce que le mécanisme de « Proof of Care » (Preuve de Soin) ?,La validation d'une action citoyenne positive pour générer une récompense.
Quelle est la monnaie locale utilisée à Auderghem pour récompenser l'engagement ?,La Zinne.
"Selon le circuit économique proposé, où les citoyens peuvent-ils dépenser leurs Zinnes ?",Dans les commerces locaux partenaires d'Auderghem.
Quel est l'avantage politique de la Zinne pour les commerces locaux ?,Elle garantit que l'argent public est réinjecté directement dans l'économie locale.
Qu'est-ce que le « Passeport Bénévole » ?,Un outil de certification des compétences acquises lors d'activités citoyennes.
Nommez une « Soft Skill » (compétence comportementale) valorisée par le Passeport Bénévole.,"La gestion d'équipe (ou la communication, ou l'organisation)."
Quelle institution belge collabore pour créer des « Titres de compétence » expérimentaux ?,Le Consortium de Validation des Compétences (CVDC).
Comment le jeu ARG permet-il de valider la compétence de « planification » ?,En observant la capacité du joueur à structurer une action pour atteindre un objectif.
Quel est l'intérêt du Passeport Bénévole pour un jeune demandeur d'emploi ?,Transformer son bénévolat en une qualification reconnue sur son CV.
Quelle loi de 2005 sert de base juridique pour distribuer des Zinnes sans charges sociales ?,La Loi sur le Volontariat.
Sous quelle qualification juridique la Zinne est-elle distribuée aux volontaires ?,Le défraiement forfaitaire.
